epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.4123,2.12744,2.61488,1.64752,0.15248,0.25298,0.10362,0.021,2.89488,8.34205,1.82048,0.000653333,0.000653333,0.000653333
2,104.279,1.9784,1.96068,1.52517,0.31787,0.30993,0.19457,0.03978,2.99146,2.35437,1.99572,0.00130693,0.00130693,0.00130693
3,150.814,2.20015,2.13076,1.64643,0.00121,0.03576,0.00062,0.00023,nan,nan,nan,0.00194733,0.00194733,0.00194733
4,198.558,2.01539,1.98781,1.53245,0.02003,0.14967,0.00914,0.00333,2.56944,inf,10.2942,0.0019406,0.0019406,0.0019406
5,245.364,2.24477,1.96039,1.72407,0.13644,0.26225,0.0576,0.01844,2.82698,5.70849,6.27983,0.0019208,0.0019208,0.0019208
6,290.184,2.02168,1.72352,1.56036,0.33324,0.24625,0.18174,0.04602,3.23067,4.00808,2.58682,0.001901,0.001901,0.001901
7,335.342,1.8966,1.54357,1.45356,0.35741,0.12053,0.0952,0.0329,2.69264,3.58096,1.79088,0.0018812,0.0018812,0.0018812
8,380.294,1.82974,1.52478,1.4637,0.12139,0.56954,0.09504,0.02754,2.54444,12.5217,1.57901,0.0018614,0.0018614,0.0018614
9,425.628,1.87015,1.46843,1.45289,0.14622,0.55629,0.11256,0.03336,2.44254,8.53654,1.49765,0.0018416,0.0018416,0.0018416
10,471.066,1.81286,1.41626,1.43437,0.60556,0.56734,0.59042,0.22651,2.19373,1.81783,1.36194,0.0018218,0.0018218,0.0018218
11,517.066,1.80879,1.49742,1.41467,0.48924,0.5298,0.46694,0.14472,2.33316,1.6294,1.41251,0.001802,0.001802,0.001802
12,563.644,1.75242,1.46226,1.3957,0.55023,0.56424,0.52778,0.18354,2.2532,1.7242,1.36932,0.0017822,0.0017822,0.0017822
13,608.708,1.69674,1.37975,1.38003,0.52917,0.41979,0.41012,0.14283,2.27015,1.7944,1.41113,0.0017624,0.0017624,0.0017624
14,653.969,1.78157,1.42489,1.41756,0.60885,0.54967,0.56397,0.18753,2.31033,2.11951,1.39253,0.0017426,0.0017426,0.0017426
15,700.485,1.76288,1.45333,1.38898,0.58971,0.53377,0.54555,0.17822,2.28735,1.55573,1.38611,0.0017228,0.0017228,0.0017228
16,748.138,1.68564,1.42369,1.39826,0.60031,0.49535,0.5315,0.1642,2.3651,1.67971,1.42809,0.001703,0.001703,0.001703
17,796.263,1.64816,1.32005,1.34426,0.63007,0.57075,0.61534,0.21737,2.17829,1.49594,1.3518,0.0016832,0.0016832,0.0016832
18,843.88,1.69921,1.3441,1.3579,0.59071,0.56424,0.54476,0.16575,2.34231,1.45828,1.44749,0.0016634,0.0016634,0.0016634
19,892.036,1.76243,1.36739,1.39614,0.5884,0.59868,0.56804,0.18314,2.2553,1.63189,1.36548,0.0016436,0.0016436,0.0016436
20,939.195,1.661,1.3892,1.32131,0.57622,0.53668,0.5448,0.1918,2.19799,1.50901,1.32068,0.0016238,0.0016238,0.0016238
21,986.317,1.6341,1.36551,1.35901,0.52165,0.49801,0.48518,0.15186,2.27232,1.6469,1.39471,0.001604,0.001604,0.001604
22,1034.9,1.72264,1.37599,1.36805,0.64568,0.62273,0.62944,0.20403,2.23776,1.44029,1.35933,0.0015842,0.0015842,0.0015842
23,1082.91,1.6905,1.31896,1.32312,0.62192,0.57616,0.60064,0.19433,2.18258,1.41357,1.32236,0.0015644,0.0015644,0.0015644
24,1128.73,1.62184,1.29811,1.33896,0.55897,0.53718,0.52981,0.15268,2.36689,1.56416,1.40697,0.0015446,0.0015446,0.0015446
25,1175.46,1.67402,1.29907,1.33749,0.53071,0.57086,0.53259,0.16502,2.24556,1.48104,1.35874,0.0015248,0.0015248,0.0015248
26,1221.6,1.64534,1.26335,1.3258,0.64147,0.61192,0.63073,0.22822,2.13393,1.31897,1.30561,0.001505,0.001505,0.001505
27,1267.54,1.67378,1.33467,1.35555,0.60744,0.55337,0.5615,0.19659,2.17528,1.40491,1.33245,0.0014852,0.0014852,0.0014852
28,1313.41,1.64467,1.29881,1.31768,0.62956,0.57616,0.59972,0.20585,2.16425,1.38827,1.32062,0.0014654,0.0014654,0.0014654
29,1359.82,1.64721,1.27534,1.30978,0.62227,0.58278,0.58743,0.18018,2.31728,1.40783,1.38681,0.0014456,0.0014456,0.0014456
30,1406.42,1.67307,1.22742,1.33455,0.64566,0.5947,0.63098,0.21735,2.15155,1.33407,1.31641,0.0014258,0.0014258,0.0014258
31,1451.74,1.64052,1.25662,1.2847,0.59317,0.57219,0.57037,0.18547,2.18123,1.55017,1.31701,0.001406,0.001406,0.001406
32,1500.02,1.6404,1.22257,1.32594,0.63556,0.62649,0.63607,0.2222,2.20923,1.31406,1.34852,0.0013862,0.0013862,0.0013862
33,1548.37,1.64237,1.2443,1.33024,0.5695,0.48212,0.49413,0.18434,2.25979,1.93602,1.38234,0.0013664,0.0013664,0.0013664
34,1598.34,1.63012,1.24041,1.29273,0.64561,0.58675,0.61352,0.2191,2.13028,1.41752,1.31099,0.0013466,0.0013466,0.0013466
35,1645.95,1.64574,1.22557,1.31286,0.65155,0.59735,0.62598,0.23158,2.14025,1.3679,1.31051,0.0013268,0.0013268,0.0013268
36,1692.47,1.58043,1.17735,1.27167,0.69811,0.62484,0.68314,0.2546,2.07058,1.28121,1.27384,0.001307,0.001307,0.001307
